SYMBOL	s_629	s_784	s_951	s_626	s_783	s_957	s_627	s_781	s_948
DNAH7	-0.455904916	-0.53463038	-0.520786416	-0.4746528	-0.516970838	-0.500273909	-0.56232478	-0.441281278	-0.471822171
DNAJB13	0.438021894	0.421474907	0.340709297	0.323651234	0.357593149	0.421386721	0.404180527	0.386785599	0.403757637
DNALI1	0.596539071	0.524324176	0.550452133	0.438458273	0.458192458	0.456975708	0.46173903	0.514219739	0.489308532
DSEL	-0.243709475	-0.260785018	-0.307129159	-0.240422626	-0.320208994	-0.283772228	-0.361504195	-0.264642284	-0.254734909
EDAR	0.09612972	0.10333194	0.154512806	0.019407128	0.251148824	0.186798614	0.359902057	0.120958141	0.134127485
EFCAB5	0.350786533	0.251215335	0.387760336	0.311846588	0.391644615	0.2189579	0.329542981	0.349316151	0.385457865
ELFN2	0.346806135	0.189494584	0.219403806	0.180606596	0.503427715	0.311896433	0.203587354	0.038077786	0.199699846
ERBB3	1.0049284	0.722545475	0.740907483	0.516536661	0.712165969	0.671677364	0.545125535	0.631879153	0.65400575
FAM81A	0.272672939	0.070183203	0.095268279	0.049513039	0.13124532	0.066891529	-0.086168078	0.034589377	0.073858091
FBXO43	0.426625042	0.378753888	0.369304908	0.231082169	0.39409579	0.506746564	0.567792397	0.452649929	0.349448135
FMOD	0.758753094	0.565574421	0.526922523	0.261825004	0.341317839	0.340221189	0.287697805	0.401383643	0.441132192
FRMPD3	-0.253024525	-0.100864336	-0.091185028	-0.122752476	-0.08884812	-0.121228244	0.133773276	-0.052291269	-0.029590452
GLT8D2	1.361461332	1.086978177	1.234395425	1.088146514	1.272377549	1.128762132	1.006487357	1.096739477	1.092937646
GLTPD2	-0.111850463	0.031883544	-0.116141215	-0.092505282	-0.166162187	-0.040366798	-0.011238481	-0.081315582	-0.059086212
GNAT2	-0.553902423	-0.570110373	-0.606337751	-0.511758817	-0.553128163	-0.461092678	-0.562811917	-0.505234621	-0.561042727
GPR135	-0.40758473	-0.348281732	-0.428379306	-0.301337086	-0.403124311	-0.318378999	-0.417588604	-0.375104378	-0.379752116
GPR156	0.336525562	0.390921175	0.485648898	0.349723291	0.405874813	0.393171483	0.545972402	0.435425266	0.353400873
GPR22	0.148537837	0.173549004	0.176586175	0.202413332	0.185791078	0.118777633	0.254173399	0.245784487	0.30976076
